HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0451051,60,1,1,3.0,2,0,26567.938,3732.6667,1241.6667,419.0,658.6667,0.0,0.0,0.0
0451056,87,3,1,3.0,2,4,24367.677,23345.9333,9833.3333,1759.0,1646.6667,5377.3333,980.0,0.0
0451057,33,7,1,3.0,4,1,27257.694,16011.6667,6222.3334,2190.0,3856.6667,1836.0,0.0,0.0
0451058,61,2,2,3.0,4,0,51711.388,4865.3333,2994.0,98.0,1733.3333,40.0,0.0,0.0
0451059,69,1,1,4.0,1,1,20179.944,5602.3333,3403.3333,30.0,1292.0,308.0,328.0,0.0
0451060,87,1,1,4.0,2,1,6079.996,9229.3333,3429.0001,580.0,2469.9999,1595.3333,1155.0,0.0
0451061,39,1,2,4.0,4,3,15622.53,6744.8333,1844.0,1440.0,1213.3333,200.0,510.0,0.0
0451063,75,1,1,2.0,1,1,26110.865,3210.0,1750.3333,609.0,242.6667,418.0,186.0,0.0
0451064,61,1,2,3.0,4,1,35326.062,2969.6666,1576.0,187.0,953.3333,80.0,0.0,0.0
0451066,87,1,1,3.0,5,1,15065.339,4055.0,523.0,501.0,953.3333,1200.0,157.0,0.0
0451070,87,3,1,3.0,2,1,25358.778,26048.0002,7831.000100000001,1733.6666,7150.0,6587.6667,768.0,0.0
0451072,71,1,1,1.0,2,1,17212.91,7816.0,4740.6666000000005,214.6667,953.3334,1789.3333,38.0,0.0
0451073,51,1,1,3.0,4,1,32376.567,10612.3334,5018.0,801.0,953.3334,0.0,472.0,0.0
0451074,67,2,1,3.0,2,2,31701.479,22282.1668,6519.9999,1031.0,5936.6667,3239.3333000000002,586.0,0.0
0451076,29,1,1,3.0,4,1,36897.229,14888.3334,7084.0,1695.6667,2854.0,862.0,540.0,0.0
0451078,71,2,1,2.0,1,1,24179.577,8631.8334,3350.3333,1222.3333,1726.6667,1338.0,396.0,0.0
0451079,64,1,1,2.0,2,1,28818.009,3903.0,960.0,1335.0,520.0,1000.0,88.0,0.0
0451080,57,4,1,4.0,4,2,25061.78,40742.1666,11248.0,2437.0,4460.0,8332.3333,30.0,0.0
0451081,32,6,1,3.0,2,2,33715.956,13253.8665,5018.0,1924.0,2773.3334,0.0,84.0,0.0
0451082,53,4,1,3.0,2,1,34205.546,15078.333300000002,5319.3334,2225.0,4618.6667,140.0,100.0,0.0
0451084,64,2,1,1.0,1,2,17042.479,22871.1662,6421.0,850.0,3908.6666,0.0,994.0,0.0
0451086,34,4,1,2.0,1,4,19632.996,35015.3334,14152.6666,3770.0,4160.0,2422.6666999999998,84.0,0.0
0451088,38,1,1,4.0,1,7,27441.449,18418.1668,2809.3334,6351.0,2060.3334,1856.6666,1800.0,0.0
0451089,51,2,1,3.0,1,4,31640.844,121015.2993,19281.0,14399.3333,14100.0,4970.0,7249.0,0.0
0451090,70,2,1,1.0,2,2,17102.298,42513.6665,13408.0,2078.0,5529.9999,7618.6667,1082.0,0.0
0451091,87,1,1,1.0,4,0,23266.795,7447.6667,4102.0,80.0,1534.0,1538.3333,0.0,0.0
0451092,79,2,1,4.0,2,1,14571.794,7305.3334,1670.6667,955.0,1950.0,1914.6667,200.0,0.0
0451095,81,1,1,1.0,4,1,25220.26,38783.6666,25267.000099999997,496.0,1169.9999,1338.3333,129.0,0.0
0451102,25,1,1,3.0,5,1,34239.7,1033.1668,160.0,130.0,216.6667,238.6667,20.0,0.0
0451105,19,2,1,4.0,1,2,27787.504,17507.8333,5913.0,3862.0,4290.0001,0.0,0.0,0.0
0451106,32,2,1,,4,5,18759.963,43396.66650000001,8110.3333,948.0,5070.0,5737.3333999999995,1090.0,0.0
0451107,27,1,1,,6,1,93606.811,11943.8334,1143.0,9476.0,390.0,0.0,85.0,0.0
0451108,49,4,2,3.0,4,0,51527.806,9514.6667,5678.0,500.0,3206.6666999999998,0.0,0.0,0.0
