QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20202,04282413,8,0,5,01,D,100,D,.0400,D,135000,D,30,D,1000,D,3,D,4,D,,A,,A,355,D,218,D,218,D,219,D,427,D,427,D,426,D,,A,05,D,2017,D,1,D,,A,128210,D,127992,D,127774,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282423,9,0,1,01,D,100,D,.0397,F,804516,V,30,F,3400,F,3,F,,A,,A,,A,500,F,,A,904,F,907,F,,A,1996,F,1993,F,,A,08,F,2019,F,1,F,032020,F,,A,754975,V,751626,V,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282433,12,0,5,01,D,100,D,.0587,D,123474,D,30,D,730,D,,A,,A,,A,,A,0,D,296,D,297,D,299,D,434,D,433,D,431,D,,A,07,D,2005,D,1,D,,A,88727,D,88431,D,88133,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04282463,11,0,5,01,D,100,D,.0420,F,150000,F,30,F,740,F,,B,,B,,B,,B,6,F,268,F,269,F,270,F,466,F,465,F,464,F,,A,04,F,2014,F,1,F,,A,133188,F,132920,F,132651,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282493,14,0,5,01,D,100,D,.0397,D,140000,D,30,D,906,D,3,D,,A,,A,,A,240,D,209,D,210,D,210,D,457,D,456,D,456,D,,A,05,D,2019,D,1,D,,A,138150,D,137941,D,137732,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04282543,32,0,5,01,D,100,D,.0525,D,140000,D,30,D,1195,D,3,D,4,D,5,D,,A,422,D,253,D,254,D,255,D,520,D,519,D,518,D,,A,06,D,2011,D,1,D,,A,118920,D,118667,D,118413,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04282643,47,0,5,01,D,100,D,.0450,D,200000,D,30,D,1400,D,3,D,4,D,,A,,A,387,D,335,D,337,D,338,D,678,D,676,D,675,D,,A,09,D,2014,D,1,D,,A,180682,D,180347,D,180010,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282713,40,0,5,01,D,100,D,.0587,D,213627,D,30,D,1652,D,3,D,,A,,A,,A,389,D,525,D,527,D,530,D,738,D,736,D,733,D,,A,02,D,2005,D,1,D,,A,150924,D,150399,D,149872,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282723,17,0,5,01,D,100,D,.0450,D,120000,D,30,D,700,D,,B,,B,,B,,B,92,D,215,D,216,D,216,D,393,D,392,D,392,D,,A,04,D,2013,D,1,D,,A,104864,D,104649,D,104434,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04282743,12,0,1,01,D,300,D,.0397,D,15000,D,9,D,200,D,3,D,,A,,A,6,D,35,D,,A,115,D,116,D,,A,50,D,49,D,,A,03,D,2020,D,1,D,,A,,A,15000,D,14885,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
