QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20203,04314433,68,0,1,1950,D,390,D,1040,D,650,D,30,D,,A,,A,1560,D,90,D,,A,,A,,A,,A
20203,04314443,23,0,1,1690,D,390,D,156,D,0,D,0,D,,A,,A,1300,D,96,D,,A,,A,,A,,A
20203,04314463,34,0,1,1300,D,260,D,,A,65,D,0,D,,A,,A,1040,D,0,D,3,D,39,D,,A,,A
20203,04314473,24,0,1,845,D,130,D,,A,195,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20203,04314573,18,0,1,1560,D,195,D,,A,390,D,0,D,,A,,A,1365,D,0,D,,A,,A,,A,,A
20203,04314583,27,0,1,1300,D,325,D,,A,0,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04314613,37,0,1,2171,D,325,D,260,D,130,D,0,D,,A,,A,1846,D,120,D,,A,,A,,A,,A
20203,04314623,81,0,1,2275,D,0,D,,A,1300,D,0,D,,A,,A,2275,D,0,D,,A,,A,,A,,A
20203,04314653,34,0,1,1950,D,390,D,,A,650,D,0,D,,A,,A,1560,D,240,D,,A,,A,,A,,A
20203,04314663,26,0,1,1430,D,130,D,650,D,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20203,04314673,24,0,1,975,D,130,D,,A,0,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20203,04314693,48,0,1,1040,D,130,D,,A,0,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20203,04314723,23,0,1,1378,D,78,D,,A,650,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20203,04314733,51,0,1,3900,D,650,D,,A,520,D,0,D,,A,,A,3250,D,120,D,,A,,A,,A,,A
20203,04314743,35,0,1,1430,D,260,D,,A,325,D,0,D,,A,,A,1170,D,375,D,,A,,A,,A,,A
20203,04314763,46,0,1,3250,D,455,D,,A,0,D,0,D,,A,,A,2795,D,0,D,,A,,A,,A,,A
20203,04314793,18,0,1,1560,D,390,D,,A,780,D,0,D,,A,,A,1170,D,90,D,16,D,208,D,,A,,A
20203,04314853,57,0,1,5200,D,1300,D,,A,325,D,0,D,,A,,A,3900,D,300,D,,A,,A,,A,,A
20203,04314863,65,0,1,2275,D,260,D,,A,3250,D,180,D,,A,,A,2015,D,75,D,,A,,A,286,F,,C
20203,04314923,20,0,1,871,D,273,D,,A,0,D,0,D,,A,,A,598,D,0,D,,A,,A,,A,,A
20203,04314953,62,0,1,2405,D,540,F,,A,1560,D,0,D,,A,,A,2123,F,150,D,,A,,A,,A,,A
20203,04314993,39,0,1,975,D,325,D,,A,195,D,0,D,,A,,A,650,D,300,D,,A,,A,,A,,A
20203,04315023,66,0,1,780,D,130,D,143,D,0,D,0,D,,A,,A,650,D,180,D,,A,,A,,A,,A
