QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20202,04238294,25,0,5,01,D,105,D,2019,D,,A,36,D,12,D,585,D,3,D,,A,,A,1500,D,,A,,A,585,D,585,D,585,D,,A,,A,,A,1500,D,,A,D,,A,2018,D,SUB
20202,04238384,10,0,5,01,D,105,D,2017,D,,A,36,D,05,D,120,D,3,D,,A,,A,3000,D,,A,,A,120,D,120,D,120,D,,A,,A,,A,3000,D,,A,D,,A,2017,D,TOY
20202,04238554,26,0,5,01,D,105,D,2019,D,,A,39,D,07,D,223,D,3,D,,A,,A,800,D,,A,,A,223,D,223,D,223,D,,A,,A,,A,800,D,,A,D,,A,2019,D,BUI
20202,04238584,34,0,5,01,D,105,D,2019,D,,A,36,D,07,D,3800,D,3,D,,A,,A,20000,D,,A,05,D,3800,D,3800,D,3800,D,,A,,A,,A,20000,D,1900,D,D,,A,2019,D,POR
20202,04239294,20,0,5,01,D,105,D,2016,D,,A,36,D,01,D,235,D,3,D,,A,,A,,A,,A,,A,235,D,235,D,235,D,,A,,A,,A,,A,,A,D,,A,2016,D,NIS
20202,04239364,13,0,5,02,D,105,D,2020,D,,A,12,D,12,D,450,D,3,D,,A,,A,,A,,A,,A,450,D,450,D,450,D,,A,,A,,A,,A,,A,D,,A,2019,D,MRB
20202,04239854,25,0,5,01,D,105,D,2018,D,,A,36,D,09,D,318,D,3,D,,A,4000,D,,C,,A,,A,318,D,318,D,318,D,,A,,A,,A,,B,,A,D,,A,2018,D,FOR
20202,04239994,14,0,5,01,D,105,D,2017,D,,A,60,D,05,D,325,D,3,D,,A,,A,3400,D,,A,04,D,325,D,325,D,,A,,A,,A,,A,3400,D,,A,D,,A,2017,D,KIA
20202,04240474,18,0,5,01,D,105,D,2019,D,,A,36,D,03,D,431,D,3,D,,A,1500,D,6000,D,,A,,A,431,D,431,D,431,D,,A,,A,,A,6000,D,,A,D,,A,2019,D,TOY
20202,04241084,6,0,5,01,D,105,D,2017,D,,A,36,D,09,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2017,D,KIA
20202,04241304,8,0,5,01,D,105,D,2019,D,,A,36,D,09,F,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
20202,04241304,9,0,5,02,D,105,D,2018,D,,A,36,D,01,F,250,D,3,D,,A,,A,,C,,A,,A,250,D,250,D,250,D,,A,,A,,A,,B,,A,D,,A,2018,D,TOY
20202,04241374,13,0,5,01,D,105,D,2018,D,,A,36,D,11,D,800,D,3,D,,A,,A,2000,D,,A,,A,800,D,800,D,800,D,,A,,A,,A,2000,D,,A,D,,A,2018,D,BMW
