QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20202,04218064,35,0,1,1,D,2,D,1,D,02,D,10,D,1,D,1,D,2,D,2,D,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1011,G,206,G,,A,,A,,A,,A,783,G,,A
20202,04218064,36,0,2,1,D,2,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,850,D,,A,,A,,A,,A,,A,75,D,,A
20202,04218084,40,0,1,1,D,1,D,1,D,01,D,28,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,134,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,F,150,D,200,D
20202,04218084,41,0,2,2,D,3,D,1,D,01,D,28,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,55,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,188,D,200,D,50,D
20202,04218284,34,0,1,1,D,6,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20202,04218284,35,0,2,1,D,7,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,75,D,,A
20202,04218374,19,0,1,1,D,1,D,2,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,250,D,,A,,A,,A
20202,04218374,20,0,1,1,D,2,D,1,D,03,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A
20202,04218484,27,0,1,1,D,2,D,1,D,02,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A,100,D,570,D,150,D,,A,,A,,A,,A,250,D,,A
20202,04218644,59,0,1,1,D,1,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,60,0,1,1,D,2,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
