QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20203,04317684,44,0,1,420,D,04,D,15,D,,A,,A,,A,,A
20203,04317684,45,0,1,400,D,05,D,55,D,,A,,A,,A,,A
20203,04317953,51,0,1,420,D,06,D,60,D,,A,,A,,A,,A
20203,04317963,39,0,1,420,D,05,D,80,D,,A,,A,,A,,A
20203,04317973,22,0,1,420,D,06,D,250,D,,A,,A,,A,,A
20203,04318033,97,0,1,420,D,04,D,117,D,,A,,A,,A,,A
20203,04318033,98,0,2,420,D,04,D,113,D,,A,,A,,A,,A
20203,04318053,41,0,1,420,D,06,D,70,D,,A,,A,,A,,A
20203,04318073,34,0,1,410,D,04,D,20,D,,A,,A,,A,,A
20203,04318083,16,0,1,405,D,05,D,200,D,,A,,A,,A,,A
20203,04318093,22,0,1,420,D,06,D,363,D,,A,,A,,A,,A
20203,04318323,18,0,1,420,D,06,D,48,D,,A,,A,,A,,A
20203,04318403,36,0,1,405,D,06,D,87,D,,A,,A,,A,,A
20203,04318403,37,0,1,420,D,06,D,104,D,,A,,A,,A,,A
20203,04318623,20,0,1,400,D,06,D,40,D,,A,,A,,A,,A
20203,04318623,21,0,1,410,D,04,D,30,F,,A,,A,,A,,A
20203,04318623,22,0,1,430,D,04,D,,H,405,D,415,D,,A,,A
20203,04318623,22,1,1,400,D,04,D,25,F,,A,,A,,A,,A
20203,04318623,22,2,1,410,D,04,D,20,F,,A,,A,,A,,A
20203,04318683,15,0,1,420,D,04,D,300,D,,A,,A,,A,,A
20203,04318693,23,0,1,430,D,05,D,,H,425,D,405,D,415,D,,A
20203,04318693,23,1,1,420,D,05,E,30,E,,A,,A,,A,,A
20203,04318693,23,2,1,405,D,05,E,76,E,,A,,A,,A,,A
20203,04318693,23,3,1,420,D,05,E,34,E,,A,,A,,A,,A
20203,04318713,15,0,1,420,D,04,D,60,D,,A,,A,,A,,A
20203,04318803,60,0,1,420,D,06,D,120,D,,A,,A,,A,,A
20203,04318833,40,0,1,430,D,06,D,,H,405,D,415,D,410,D,,A
20203,04318833,40,1,1,405,D,06,D,151,E,,A,,A,,A,,A
20203,04318833,40,2,1,420,D,06,D,76,E,,A,,A,,A,,A
20203,04318833,40,3,1,410,D,06,D,13,E,,A,,A,,A,,A
20203,04318853,29,0,1,410,D,06,D,15,D,,A,,A,,A,,A
20203,04318883,51,0,1,420,D,05,D,320,D,,A,,A,,A,,A
20203,04318943,66,0,1,410,D,06,D,35,D,,A,,A,,A,,A
20203,04318943,67,0,1,410,D,06,D,35,D,,A,,A,,A,,A
20203,04319023,39,0,1,420,D,06,D,73,D,,A,,A,,A,,A
20203,04319043,37,0,2,420,D,04,D,220,D,,A,,A,,A,,A
20203,04319123,57,0,1,420,D,05,D,120,D,,A,,A,,A,,A
20203,04319393,20,0,1,420,D,06,D,350,D,,A,,A,,A,,A
20203,04319503,44,0,2,420,D,04,D,73,D,,A,,A,,A,,A
20203,04319743,21,0,1,420,D,06,D,45,D,,A,,A,,A,,A
20203,04319763,36,0,1,400,D,05,D,50,D,,A,,A,,A,,A
20203,04319773,20,0,1,405,D,06,D,278,D,,A,,A,,A,,A
20203,04319943,38,0,1,420,D,05,D,300,D,,A,,A,,A,,A
20203,04320023,34,0,1,420,D,06,D,132,D,,A,,A,,A,,A
20203,04320183,26,0,1,420,D,05,D,180,D,,A,,A,,A,,A
20203,04320183,27,0,1,420,D,06,D,200,D,,A,,A,,A,,A
20203,04320183,28,0,2,420,D,04,D,120,D,,A,,A,,A,,A
20203,04320293,31,0,1,430,D,06,D,,H,425,D,405,D,415,D,,A
20203,04320293,31,1,1,420,D,06,D,13,E,,A,,A,,A,,A
20203,04320293,31,2,1,420,D,06,D,153,E,,A,,A,,A,,A
20203,04320593,47,0,2,420,D,04,D,270,D,,A,,A,,A,,A
20203,04320603,29,0,1,420,D,06,D,225,D,,A,,A,,A,,A
20203,04320633,31,0,2,420,D,04,D,73,D,,A,,A,,A,,A
20203,04320843,80,0,1,430,D,05,D,,H,415,D,405,D,,A,,A
20203,04320843,80,1,1,420,D,05,D,600,E,,A,,A,,A,,A
20203,04321093,38,0,1,420,D,05,D,101,D,,A,,A,,A,,A
20203,04321283,44,0,1,420,D,05,D,58,D,,A,,A,,A,,A
20203,04321443,18,0,1,430,D,07,D,,H,415,D,400,D,,A,,A
20203,04321443,18,1,1,420,D,07,D,92,E,,A,,A,,A,,A
20203,04321443,18,2,1,400,D,07,D,53,E,,A,,A,,A,,A
20203,04321573,38,0,1,400,D,07,D,45,D,,A,,A,,A,,A
20203,04321603,21,0,1,420,D,06,D,83,D,,A,,A,,A,,A
20203,04321813,55,0,1,420,D,06,D,252,D,,A,,A,,A,,A
20203,04321813,56,0,1,400,D,05,D,29,D,,A,,A,,A,,A
20203,04321823,42,0,1,400,D,07,D,50,D,,A,,A,,A,,A
20203,04321943,31,0,1,410,D,07,D,7,D,,A,,A,,A,,A
