QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20203,04280454,2,0,1,160,D,07,D,100,D,,A,,A
20203,04280454,3,0,1,160,D,07,D,10,D,,A,,A
20203,04280464,1,0,1,800,D,05,D,1200,D,2,D,,C
20203,04280494,2,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04280564,2,0,1,800,D,05,D,2000,D,2,D,1,D
20203,04280644,4,0,1,800,D,06,D,1200,D,,C,1,D
20203,04280644,5,0,1,800,D,06,D,1200,D,,C,1,D
20203,04280664,13,0,1,170,D,13,D,200,D,,A,,A
20203,04280664,14,0,1,150,D,07,D,500,D,,A,,A
20203,04280664,15,0,1,160,D,13,D,10,D,,A,,A
20203,04280664,16,0,1,160,D,13,D,10,D,,A,,A
20203,04280664,17,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04280714,4,0,1,800,D,05,D,3400,D,2,D,2,D
20203,04280804,3,0,1,150,D,13,D,500,D,,A,,A
20203,04280804,4,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04280824,1,0,1,150,D,13,D,100,D,,A,,A
20203,04280824,2,0,1,800,D,06,D,1200,D,2,D,3,D
20203,04280834,1,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04280884,1,0,1,800,D,05,D,2400,D,2,D,3,D
20203,04280904,6,0,1,160,D,07,D,350,D,,A,,A
20203,04280904,7,0,1,160,D,05,D,250,D,,A,,A
20203,04280964,1,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04281014,2,0,1,800,D,05,D,4200,D,2,D,2,D
20203,04281024,4,0,1,170,D,07,D,50,D,,A,,A
20203,04281024,5,0,1,170,D,13,D,1,D,,A,,A
20203,04281074,3,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04281184,6,0,1,150,D,13,D,40,D,,A,,A
20203,04281184,7,0,1,800,D,05,D,3600,D,1,D,1,D
20203,04281184,8,0,2,170,D,05,D,100,D,,A,,A
20203,04281204,4,0,1,160,D,13,D,75,D,,A,,A
20203,04281204,5,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04281214,5,0,1,800,D,06,D,1200,D,1,D,2,D
20203,04281224,1,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04281224,2,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04281234,1,0,1,800,D,06,D,1200,D,1,D,1,D
20203,04281244,3,0,1,150,D,13,D,300,D,,A,,A
20203,04281244,4,0,1,800,D,05,D,600,D,2,D,1,D
20203,04281244,5,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04281274,4,0,1,170,D,07,D,2000,D,,A,,A
20203,04281274,5,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04281364,5,0,1,160,D,13,D,20,D,,A,,A
20203,04281364,6,0,1,800,D,05,D,2200,D,2,D,1,D
20203,04281454,5,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04281484,1,0,1,150,D,13,D,10,D,,A,,A
20203,04281484,2,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04281504,6,0,1,150,D,13,D,50,D,,A,,A
20203,04281504,7,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04281524,13,0,1,160,D,13,D,4,D,,A,,A
20203,04281524,14,0,1,800,D,05,D,2700,D,2,D,1,D
20203,04281554,2,0,1,170,D,06,D,200,D,,A,,A
20203,04281554,3,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04281574,4,0,1,800,D,05,D,1700,D,1,D,1,D
20203,04281604,10,0,1,150,D,13,D,150,D,,A,,A
20203,04281604,11,0,1,160,D,06,D,152,D,,A,,A
