QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20211,04618881,18,0,1,01,D,100,D,,A,3,D,11,F,2003,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618901,6,0,1,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618961,16,0,1,01,D,100,D,,A,1,D,,B,2016,D,,A,,A,,A,3600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618981,14,0,1,01,D,100,D,,A,3,D,07,D,2020,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619011,8,0,1,01,D,100,D,,A,3,D,12,F,2018,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619021,16,0,1,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619091,9,0,1,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619171,24,0,1,01,D,100,D,,A,3,D,11,F,2012,D,,A,,A,,A,19981,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619201,19,0,1,01,D,100,D,,A,1,D,,B,1994,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619251,14,0,1,01,D,100,D,,A,3,D,,B,1969,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619291,20,0,1,01,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04619381,8,0,1,01,D,100,D,,A,3,D,11,F,2003,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619381,9,0,1,02,D,300,D,,A,3,D,11,F,1994,D,,A,,A,,A,2800,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04619381,10,0,1,03,D,400,D,,A,3,D,11,F,2000,D,,A,,A,,A,50,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04619412,14,0,1,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619421,9,0,1,01,D,100,D,,A,3,D,,B,1989,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619521,6,0,1,01,D,100,D,,A,3,D,,B,1973,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619521,7,0,1,02,D,400,D,,A,3,D,,B,1983,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04619581,10,0,1,01,D,100,D,,A,3,D,10,F,1998,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619591,14,0,1,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,11300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619621,3,0,1,01,D,100,D,,A,3,D,12,F,1976,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619671,3,0,1,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619711,11,0,1,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,7800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619721,9,0,1,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,4500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619751,8,0,1,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619791,16,0,1,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,19981,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619791,17,0,1,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04619791,18,0,1,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04619801,12,0,1,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619811,40,0,1,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619851,20,0,1,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20211,04619851,21,0,1,02,D,400,D,,A,3,D,12,F,2012,D,,A,,A,,A,260,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04619851,22,0,1,03,D,300,D,,A,1,D,12,F,2008,D,,A,,A,,A,0,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04619961,10,0,1,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619971,9,0,1,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619981,48,0,1,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04619981,49,0,1,02,D,300,D,,A,3,D,,B,2011,D,,A,,A,,A,990,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04620031,11,0,1,01,D,100,D,,A,3,D,10,F,1977,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620081,10,0,1,01,D,100,D,,A,3,D,12,F,1974,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620111,16,0,1,01,D,100,D,,A,3,D,,B,1970,D,,A,,A,,A,1900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620121,20,0,1,01,D,100,D,,A,3,D,11,F,2009,D,,A,,A,,A,19981,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620131,12,0,1,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,1100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620141,18,0,1,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620241,8,0,1,01,D,100,D,,A,3,D,11,F,1974,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620241,9,0,1,02,D,300,D,,A,3,D,,B,1985,D,,A,,A,,A,1000,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04620251,4,0,1,01,D,100,D,,A,3,D,12,F,2018,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
