QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20204,04472052,1,0,1,195,D,1,D,09,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04472542,1,0,1,140,D,1,D,08,D,433,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04503232,1,0,1,160,D,1,D,10,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04503532,1,0,1,120,D,1,D,10,D,118,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04503532,2,0,1,195,D,1,D,10,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04503914,1,0,2,140,D,1,D,09,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04503914,2,0,2,195,D,1,D,09,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04504672,1,0,2,120,D,1,D,09,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04505442,1,0,2,195,D,1,D,09,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04505462,1,0,1,160,D,1,D,10,D,431,D,,A,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04505532,1,0,1,120,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04505902,1,0,1,195,D,1,D,10,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04505982,1,0,1,195,D,2,D,,A,,A,47,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506062,1,0,1,195,D,1,D,10,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506182,1,0,1,120,D,1,D,10,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506342,1,0,1,120,D,1,D,11,D,273,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506512,1,0,1,140,D,1,D,09,D,1000,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506512,2,0,1,140,D,1,D,10,D,700,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506522,1,0,1,120,D,1,D,10,D,869,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506632,1,0,1,160,D,3,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506672,1,0,1,140,D,1,D,09,D,170,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506672,2,0,1,120,D,1,D,11,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04506912,1,0,1,195,D,1,D,09,D,695,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507182,1,0,1,120,D,1,D,11,D,91,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507262,1,0,1,120,D,1,D,09,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507332,1,0,1,195,D,1,D,09,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507382,1,0,1,120,D,1,D,09,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507412,1,0,1,140,D,1,D,11,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507412,2,0,1,160,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507412,3,0,1,120,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507412,4,0,1,100,D,1,D,11,D,600,D,,A,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507452,1,0,1,100,D,1,D,11,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507602,1,0,1,120,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04508882,1,0,1,120,D,3,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04508922,1,0,1,195,D,3,D,10,D,1125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04509422,1,0,1,120,D,1,D,09,D,298,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04509542,1,0,1,100,D,1,D,11,D,2706,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04509722,1,0,1,195,D,1,D,10,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04510052,1,0,1,180,D,1,D,09,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04510842,1,0,1,195,D,1,D,11,D,749,D,,A,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04511362,1,0,1,195,D,1,D,09,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04511692,1,0,1,140,D,1,D,11,D,1089,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04511752,1,0,1,140,D,1,D,11,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04511892,1,0,2,120,D,1,D,09,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512002,1,0,1,195,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
