QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04218614,19,0,1,171,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218614,20,0,1,201,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,9,0,1,140,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218644,10,0,1,171,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218664,4,0,1,100,D,01,D,1,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218724,11,0,1,201,D,02,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218774,6,0,2,100,D,01,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218894,8,0,1,201,D,02,D,1,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,13,0,1,120,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218904,14,0,1,201,D,02,D,1,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218934,3,0,1,199,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218934,4,0,2,150,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218974,4,0,1,120,D,01,D,1,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218974,5,0,1,150,D,03,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219154,6,0,1,200,D,01,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219384,18,0,1,120,D,02,D,1,D,935,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219384,19,0,1,181,D,03,D,1,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219494,3,0,2,212,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219694,5,0,1,173,D,02,D,2,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219864,3,0,1,171,D,03,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219914,6,0,1,173,D,03,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219914,7,0,1,201,D,03,D,1,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,7,0,1,171,D,02,D,1,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,8,0,1,206,D,02,D,1,D,35,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,8,0,1,173,D,02,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,9,0,1,212,D,01,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,10,0,1,215,D,01,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,11,0,2,196,D,01,D,1,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220164,4,0,1,107,D,02,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220164,5,0,1,141,D,01,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220164,6,0,1,180,D,02,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220234,14,0,1,199,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220404,15,0,1,140,D,03,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220404,16,0,1,201,D,01,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220764,13,0,1,173,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220764,14,0,2,199,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220804,2,0,1,100,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220804,3,0,1,212,D,03,D,1,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220844,7,0,1,171,D,01,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,14,0,1,120,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
