QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20202,04218644,53,0,1,150,D,1,D,15,D,01,D
20202,04218644,54,0,1,150,D,1,D,15,D,02,D
20202,04218644,55,0,1,150,D,1,D,15,D,03,D
20202,04218644,56,0,1,210,D,1,D,50,D,02,D
20202,04218644,57,0,1,700,D,1,D,10,D,13,D
20202,04218644,58,0,1,355,D,1,D,15,D,13,D
20202,04218654,16,0,1,830,D,1,D,20,D,13,D
20202,04218654,17,0,1,520,D,1,D,5,D,01,D
20202,04218654,18,0,1,150,D,1,D,80,D,03,D
20202,04218664,19,0,1,150,D,1,D,10,D,02,D
20202,04218664,20,0,1,150,D,1,D,10,D,03,D
20202,04218724,31,0,1,355,D,1,D,13,D,13,D
20202,04218724,32,0,1,355,D,1,D,16,D,13,D
20202,04218724,33,0,2,520,D,1,D,15,D,01,D
20202,04218724,34,0,2,210,D,1,D,8,D,01,D
20202,04218774,31,0,1,830,D,1,D,21,D,13,D
20202,04218774,32,0,1,150,D,1,D,45,D,03,D
20202,04218774,33,0,1,210,D,1,D,16,D,13,D
20202,04218774,34,0,1,700,D,1,D,27,D,13,D
20202,04218774,35,0,1,355,D,1,D,23,D,13,D
20202,04218774,36,0,1,355,D,1,D,7,D,13,D
20202,04218894,43,0,1,840,D,1,D,120,D,01,D
20202,04218894,44,0,1,330,D,1,D,16,D,13,D
20202,04218894,45,0,1,355,D,1,D,14,D,13,D
20202,04218904,32,0,1,210,D,1,D,9,D,02,D
20202,04218904,33,0,1,320,D,1,D,30,D,02,D
20202,04218904,34,0,1,320,D,1,D,6,D,02,D
20202,04218904,35,0,1,340,D,1,D,14,D,03,D
20202,04218914,29,0,1,840,D,1,D,119,D,01,D
20202,04218914,30,0,1,355,D,1,D,15,D,13,D
20202,04218934,31,0,1,830,D,1,D,11,D,01,D
20202,04218934,32,0,1,840,D,1,D,13,D,01,D
20202,04218934,33,0,1,840,D,1,D,13,D,02,D
20202,04218934,34,0,1,840,D,1,D,13,D,03,D
20202,04218934,35,0,1,160,D,1,D,16,D,01,D
20202,04218934,36,0,1,160,D,1,D,16,D,02,D
20202,04218934,37,0,1,160,D,1,D,16,D,03,D
20202,04218934,38,0,1,500,D,1,D,180,D,02,D
20202,04218934,39,0,1,410,D,1,D,60,D,01,D
20202,04218934,40,0,1,410,D,1,D,60,D,02,D
20202,04218934,41,0,1,410,D,1,D,60,D,03,D
20202,04218934,42,0,1,355,D,1,D,14,D,13,D
20202,04218934,43,0,2,840,D,1,D,13,D,01,D
20202,04218934,44,0,2,150,D,1,D,16,D,01,D
20202,04218974,15,0,1,830,D,1,D,20,D,13,D
20202,04218974,16,0,1,530,D,1,D,200,D,02,D
20202,04219114,33,0,1,355,D,1,D,25,D,13,D
