QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20203,04296574,31,0,1,1,D,,H,,A
20203,04296574,31,1,1,,A,110,E,100,D
20203,04296574,31,2,1,,A,55,E,110,D
20203,04296894,35,0,1,1,D,,H,,A
20203,04296894,35,1,1,,A,98,E,100,D
20203,04296894,35,2,1,,A,33,E,110,D
20203,04296894,35,3,1,,A,369,E,130,D
20203,04310913,15,0,1,1,D,,H,,A
20203,04310913,15,1,1,,A,28,E,100,D
20203,04310913,15,2,1,,A,22,E,110,D
20203,04312253,35,0,1,1,D,,H,,A
20203,04312253,35,1,1,,A,79,E,100,D
20203,04312253,35,2,1,,A,21,E,110,D
20203,04316073,11,0,1,1,D,,H,,A
20203,04316073,11,1,1,,A,137,E,120,D
20203,04316073,11,2,1,,A,13,E,140,D
20203,04316233,34,0,1,2,D,,H,,A
20203,04316233,34,1,1,,A,182,E,100,D
20203,04316233,34,2,1,,A,50,E,110,D
20203,04316233,34,3,1,,A,93,E,120,D
20203,04316233,34,4,1,,A,247,E,130,D
20203,04316233,34,5,1,,A,1,E,140,D
20203,04316233,34,6,1,,A,637,E,150,D
20203,04316233,34,7,1,,A,6,E,160,D
20203,04316233,34,8,1,,A,79,E,190,D
20203,04316233,34,9,1,,A,50,E,210,D
20203,04316233,34,10,1,,A,155,E,220,D
20203,04316823,35,0,1,1,D,,H,,A
20203,04316823,35,1,1,,A,47,E,100,D
20203,04316823,35,2,1,,A,13,E,110,D
20203,04317953,42,0,1,1,D,,H,,A
20203,04317953,42,1,1,,A,365,E,120,D
20203,04317953,42,2,1,,A,35,E,140,D
20203,04319993,38,0,1,1,D,,H,,A
20203,04319993,38,1,1,,A,217,E,100,D
20203,04319993,38,2,1,,A,75,E,110,D
20203,04319993,38,3,1,,A,98,E,120,D
20203,04319993,38,4,1,,A,10,E,140,D
20203,04321293,28,0,1,1,D,,H,,A
20203,04321293,28,1,1,,A,229,E,120,D
20203,04321293,28,2,1,,A,21,E,140,D
20203,04324883,27,0,1,1,D,,H,,A
20203,04324883,27,1,1,,A,32,E,100,D
20203,04324883,27,2,1,,A,14,E,110,D
20203,04324883,27,3,1,,A,29,E,120,D
20203,04326783,24,0,1,2,D,,H,,A
20203,04326783,24,1,1,,A,88,E,100,D
20203,04326783,24,2,1,,A,30,E,110,D
20203,04326783,24,3,1,,A,42,E,120,D
20203,04326783,24,4,1,,A,336,E,130,D
20203,04326783,24,5,1,,A,4,E,140,D
20203,04327183,33,0,1,1,D,,H,,A
20203,04327183,33,1,1,,A,173,E,100,D
20203,04327183,33,2,1,,A,46,E,110,D
20203,04327183,33,3,1,,A,81,E,120,D
20203,04327183,33,4,1,,A,230,E,130,D
20203,04327183,33,5,1,,A,1,E,140,D
20203,04327183,33,6,1,,A,591,E,150,D
20203,04327183,33,7,1,,A,5,E,160,D
20203,04327183,33,8,1,,A,73,E,190,D
20203,04327543,47,0,1,1,D,,H,,A
20203,04327543,47,1,1,,A,85,E,100,D
